	16b25	b8441	Clade	diff	mean	pct_diff
CA01	66310	63905	2	2405	64007.0	4.0
CA02	171271	167701	4	3570	168400.0	2.0
CA03	956	1001	1	-45	896.0	-5.0
CA04	902	992	1	-90	896.0	-10.0
CA05	45964	44421	3	1543	44358.0	3.0
CA06	170988	168258	4	2730	168400.0	2.0
CA07	936	1022	1	-86	896.0	-10.0
CA08	1092	975	1	117	896.0	13.0
CA09	1031	987	1	44	896.0	5.0
CA10	66748	63998	2	2750	64007.0	4.0
CA11	66531	63954	2	2577	64007.0	4.0
CA12	172862	168807	4	4055	168400.0	2.0
CA13	952	968	1	-16	896.0	-2.0
CA14	1012	971	1	41	896.0	5.0
CA15	46113	44373	3	1740	44358.0	4.0
CA16	170906	168513	4	2393	168400.0	1.0
CA17	974	987	1	-13	896.0	-1.0
CA18	1040	984	1	56	896.0	6.0
CA19	172498	168621	4	3877	168400.0	2.0
CA20	2019	266	1	1753	896.0	196.0
CA21	944	986	1	-42	896.0	-5.0
CA22	66293	64171	2	2122	64007.0	3.0
CA23	45926	44279	3	1647	44358.0	4.0
CA24	170950	168260	4	2690	168400.0	2.0
CA25	1282	956	1	326	896.0	36.0
CA26	1238	963	1	275	896.0	31.0
CA27	1148	964	1	184	896.0	21.0
CA28	976	988	1	-12	896.0	-1.0
CA29	985	983	1	2	896.0	0.0
CA30	1955	0	1	1955	896.0	218.0
CA31	172143	168424	4	3719	168400.0	2.0
CA32	912	959	1	-47	896.0	-5.0
CA33	172830	168619	4	4211	168400.0	3.0
CA34	907	987	1	-80	896.0	-9.0
CA35	1202	975	1	227	896.0	25.0
